apn_unformatted,primary_number,street_pre_direction,street_name,street_suffix,street_post_direction,secondary_designator,secondary_number,city,state,zip_code,latitude,longitude,county_name,standardized_land_use_type,area_sq_ft,beds_count,baths,total_area_sq_ft
1523069191,24033,SE,127,ST,,,,ISSAQUAH,WA,98027,47.48728,-122.018684,KING,SINGLE FAMILY RESIDENTIAL,37675,3,2,1610
7971800340,3098,S,276,CT,,,,AUBURN,WA,98001,47.354069,-122.293129,KING,SINGLE FAMILY RESIDENTIAL,10297,4,2,4634
00422100004000,5924,,CEMETERY,RD,,,,ARLINGTON,WA,98223,48.177516,-122.150122,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,10019,3,1,1032
31051300300400,8704,,196,ST,NE,,,ARLINGTON,WA,98223,48.173178,-122.114009,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,87120,3,1,1245
9406510050,24616,,214,AVE,SE,,,MAPLE VALLEY,WA,98038,47.381314,-122.055534,KING,SINGLE FAMILY RESIDENTIAL,24059,4,2,2850
00753600004900,12025,,48,DR,SE,,,EVERETT,WA,98208,47.887973,-122.166906,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,9148,3,3,2268
00405700000700,10119,,236,PL,SW,,,EDMONDS,WA,98020,47.784966,-122.368818,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,10019,6,2,1314
6414100372,12538,,14,AVE,NE,,,SEATTLE,WA,98125,47.720579,-122.313666,KING,SINGLE FAMILY RESIDENTIAL,7500,3,1,1770
2695001230,12907,,PARK,AVE,S,,,TACOMA,WA,98444,47.140076,-122.439557,PIERCE,SINGLE FAMILY RESIDENTIAL,7500,4,1.5,1304
00908000000600,8421,,SMUGGLERS COVE,LN,SW,,,MUKILTEO,WA,98275,47.92061,-122.303091,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,14375,4,3,3246
5004500030,302,,LARCHMOUNT,CT,,,,TACOMA,WA,98445,47.180107,-122.427326,PIERCE,SINGLE FAMILY RESIDENTIAL,6152,4,2.5,1418
0399000195,6222,S,119,ST,,,,SEATTLE,WA,98178,47.496593,-122.255472,KING,SINGLE FAMILY RESIDENTIAL,7500,3,1,960
4700002301,503,,TON A WAN DA,AVE,NE,,,TACOMA,WA,98422,47.304852,-122.439571,PIERCE,SINGLE FAMILY RESIDENTIAL,9600,2,1,752
7211400827,10070,,18,AVE,SW,,,SEATTLE,WA,98146,47.511995,-122.357011,KING,SINGLE FAMILY RESIDENTIAL,2867,3,2,1490
2872700050,2621,,J,ST,NE,,,AUBURN,WA,98002,47.330933,-122.216865,KING,DUPLEX,6321,4,2,1600
4235400098,3312 A,W,GOVERNMENT,WAY,,,,SEATTLE,WA,98199,47.660148,-122.400408,KING,TOWNHOUSE,1236,3,1,1420
5530200870,4702,,MILL POND,DR,SE,#,1303,AUBURN,WA,98092,47.266727,-122.217885,KING,CONDOMINIUM UNIT,313588,2,2,1405
01195400001400,12103,,319,AVE,SE,,,SULTAN,WA,98294,47.8892,-121.7909,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,4051,5,2,2231
00515200000400,1257,,8,AVE,S,,,EDMONDS,WA,98020,47.797063,-122.369158,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,9148,3,3,1664
6396000200,8106,NE,125,ST,,,,KIRKLAND,WA,98034,47.712533,-122.233464,KING,SINGLE FAMILY RESIDENTIAL,5164,3,2,1600
6026882570,8400,,31ST STREET,CT,E,,,EDGEWOOD,WA,98371,47.229199,-122.318143,PIERCE,SINGLE FAMILY RESIDENTIAL,5282,4,3.5,2560
3001230020,5605,,122ND STREET,CT,NW,,,GIG HARBOR,WA,98332,47.370512,-122.613179,PIERCE,SINGLE FAMILY RESIDENTIAL,9866,3,2,2013
31053100400800,1507,,140,ST,NE,,,MARYSVILLE,WA,98271,48.123185,-122.210598,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,61855,2,1,1006
6701500140,12345,,ROOSEVELT,WAY,NE,APT,212,SEATTLE,WA,98125,47.718947,-122.318568,KING,CONDOMINIUM UNIT,22055,,1,470
00730300000300,3525,,103,PL,SE,,,EVERETT,WA,98208,47.90406,-122.18446,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,10890,3,2,1884
8000160300,11421,,261,AVE,E,,,BUCKLEY,WA,98321,47.152851,-122.081281,PIERCE,SINGLE FAMILY RESIDENTIAL,25262,4,2.5,2154
27042300211200,20325,,21,PL,W,,,LYNNWOOD,WA,98036,47.81372,-122.26227,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,9579,4,3,2859
3876310480,12814,NE,142,PL,,,,KIRKLAND,WA,98034,47.729937,-122.169056,KING,SINGLE FAMILY RESIDENTIAL,8121,3,1,1300
8665900271,2501,NE,191,ST,,,,LAKE FOREST PARK,WA,98155,47.767254,-122.303079,KING,SINGLE FAMILY RESIDENTIAL,10001,4,2,2590
2423029054,12908,SW,158,ST,,,,VASHON,WA,98070,47.466058,-122.501891,KING,SINGLE FAMILY RESIDENTIAL,181950,3,3,3060
00445300000400,18304,,31,AVE,NE,,,ARLINGTON,WA,98223,48.16237,-122.189239,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,40511,3,2,1430
32041200301200,1005,,300,ST,NW,,,STANWOOD,WA,98292,48.267867,-122.244944,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,20038,3,2,2032
3000130020,5206,W,OLD STUMP,DR,NW,,,GIG HARBOR,WA,98332,47.367692,-122.610777,PIERCE,SINGLE FAMILY RESIDENTIAL,6270,3,2.5,2008
4575000220,902,E,51,ST,,,,TACOMA,WA,98404,47.210579,-122.417969,PIERCE,SINGLE FAMILY RESIDENTIAL,7200,3,1,1036
00958500009500,8421,,179,PL,NE,,,ARLINGTON,WA,98223,48.158745,-122.116768,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,8586,3,2,1365
2564900530,11418,,124,AVE,NE,,,KIRKLAND,WA,98033,47.702654,-122.175102,KING,SINGLE FAMILY RESIDENTIAL,12526,3,1,1200
9145000150,1130,S,59,ST,,,,TACOMA,WA,98408,47.203457,-122.450633,PIERCE,SINGLE FAMILY RESIDENTIAL,6000,3,2.25,1942
01007000000200,2526,,92,PL,SE,,,EVERETT,WA,98208,47.913557,-122.19757,SNOHOMISH,SINGLE FAMILY RESIDENTIAL,7187,3,3,1286
8944150300,1631,,22,ST,NE,,,AUBURN,WA,98002,47.326299,-122.208548,KING,CONDOMINIUM UNIT,94307,3,2,1160
