apn,SitusHouseNbr,SitusHouseNbrSuffix,SitusDirectionLeft,SitusStreet,SitusMode,SitusDirectionRight,SitusUnitType,SitusUnitNbr,SitusCity,SitusState,SitusZIP5,HomeEquityIntelScore_LineofCredit
7685004010,2318,,,MARTIN LUTHER KING JR,WAY,,,,TACOMA,WA,98405,107
01146600001500,8426,,,75TH,ST,NE,,,MARYSVILLE,WA,98270,240
941360-0460,10939,,NE,49TH,ST,,,,KIRKLAND,WA,98033,145
785700-3281,7351,,,BEACON,AVE,S,,,SEATTLE,WA,98108,
00532300001100,1918,,,200TH,PL,SW,,,LYNNWOOD,WA,98036,170
0220101070,7209,,,21ST,ST,W,,,TACOMA,WA,98466,69
28050200101000,8124,,,SKIPLEY,RD,,,,SNOHOMISH,WA,98290,
7001950010,19720,,,100TH,ST,E,,,BONNEY LAKE,WA,98391,
00393000007902,6328,,,CADY,RD,,,,EVERETT,WA,98203,258
9010110040,13627,,,91ST AVENUE,CT,E,,,TACOMA,WA,98448,149
058200-0005,3727,,,28TH,AVE,W,,,SEATTLE,WA,98199,241
179636-1050,18824,,SE,262ND,ST,,,,COVINGTON,WA,98042,46
3000210060,834,,,KIOWA,TRL,,,,FOX ISLAND,WA,98333,272
01133000000800,294,,,DENNIS,WAY,,,,MONROE,WA,98272,133
00540400003900,5712,,,70TH,ST,NE,,,MARYSVILLE,WA,98270,61
01005600002700,3109,,,82ND,DR,NE,,,MARYSVILLE,WA,98270,243
0122133014,6413,,,144TH,ST,NW,,,GIG HARBOR,WA,98332,115
396930-0115,12721,,,76TH,AVE,S,,,SEATTLE,WA,98178,68
423940-1100,11823,,SE,318TH,PL,,,,AUBURN,WA,98092,93
00403900027400,20003,,,99TH,AVE,SE,,,SNOHOMISH,WA,98296,47
6690000910,503,,S,58TH,ST,,,,TACOMA,WA,98408,
7785004820,5237,,S,L,ST,,,,TACOMA,WA,98408,
064421-0060,11004,,SE,25TH,ST,,,,BELLEVUE,WA,98004,328
797010-0115,3323,,,CHEASTY,BLVD,S,,,SEATTLE,WA,98144,
131120-0780,4215,,S,293RD,ST,,,,AUBURN,WA,98001,82
928990-0070,2844,,NE,183RD,ST,,,,LAKE FOREST PARK,WA,98155,210
282207-9047,27105,,,309TH,AVE,SE,,,RAVENSDALE,WA,98051,88
00413200001800,12901,,,46TH,DR,NE,,,MARYSVILLE,WA,98271,228
7001500960,21209,,,81ST,ST,E,,,BONNEY LAKE,WA,98391,125
01032900620110,14915,,,38TH,DR,SE,UNIT,2011,BOTHELL,WA,98012,125
312604-9473,713,,N,94TH,ST,,APT,D,SEATTLE,WA,98103,129
00865800002100,514,,,87TH,AVE,SE,,,LAKE STEVENS,WA,98258,77
500360-0270,26526,,,111TH,PL,SE,,,KENT,WA,98030,158
5400300930,10116,,,47TH,AVE,SW,,,LAKEWOOD,WA,98499,57
6025492010,18713,,,110TH AVENUE,CT,E,,,PUYALLUP,WA,98374,91
00903300014900,4804,,,WILMINGTON,WAY,,,,MUKILTEO,WA,98275,
430270-0480,8121,,,16TH,AVE,SW,,,SEATTLE,WA,98106,69
00878100201200,517,,,87TH,DR,SE,,,LAKE STEVENS,WA,98258,
935800-2049,2637,,SW,NEVADA,ST,,,,SEATTLE,WA,98126,220
752548-0810,18501,,SE,NEWPORT,WAY,,UNIT,K346,ISSAQUAH,WA,98027,208
00833100000300,4812,,,147TH,PL,SW,,,EDMONDS,WA,98026,91
630340-0245,10442,,,17TH,AVE,SW,,,SEATTLE,WA,98146,188
812355-0110,17137,,NE,126TH,PL,,,,REDMOND,WA,98052,157
7470011210,4050,,E,G,ST,,,,TACOMA,WA,98404,110
00756400001200,8908,,,62ND,DR,NE,,,MARYSVILLE,WA,98270,243
6705001920,4107,,N,34TH,ST,,,,TACOMA,WA,98407,98
620410-0160,10927,,NE,157TH,ST,,,,BOTHELL,WA,98011,83
282010-0015,3115,,NW,92ND,ST,,,,SEATTLE,WA,98117,115
7742000180,4902,,,292ND,ST,E,,,GRAHAM,WA,98338,
662040-0600,10023,,,2ND,AVE,S,,,SEATTLE,WA,98168,72
2255800130,10815,,,100TH,ST,SW,,,TACOMA,WA,98498,102
0418317002,28420,,,61ST,AVE,E,,,GRAHAM,WA,98338,87
558930-0285,1547,,NE,171ST,ST,,,,SHORELINE,WA,98155,77
155850-0090,16209,,,270TH,PL,NE,,,DUVALL,WA,98019,176
00373300600811,13922,,,MANOR,WAY,,,,LYNNWOOD,WA,98087,153
00373001201702,427,,,HARVEST,RD,,,,BOTHELL,WA,98012,245
30052700103700,6324,,,70TH,ST,NE,,,MARYSVILLE,WA,98270,117
7795000870,6501,,,A,ST,,,,TACOMA,WA,98408,140
3037201450,7402,,,VANDERMARK,RD,E,,,BONNEY LAKE,WA,98391,
00403800000801,16101,,,95TH,AVE,SE,,,SNOHOMISH,WA,98296,198
225410-0030,8827,,,129TH,AVE,SE,,,NEWCASTLE,WA,98056,156
142020-0030,12419,,,95TH,AVE,NE,,,KIRKLAND,WA,98034,
235180-0120,3327,,,36TH,AVE,W,,,SEATTLE,WA,98199,162
351050-0190,1625,,SW,116TH,ST,,,,BURIEN,WA,98146,102
252105-9063,16707,,SE,GREEN VALLEY,RD,,,,AUBURN,WA,98092,329
7515200040,5579,,,FRANCES,AVE,NE,,,TACOMA,WA,98422,295
502690-0060,1600,,,37TH,AVE,,,,SEATTLE,WA,98122,367
797260-2806,1401,,SW,CLOVERDALE,ST,,,,SEATTLE,WA,98106,
400600-0096,8420,,,RENTON,AVE,S,,,SEATTLE,WA,98118,209
630940-0020,7715,,,28TH,AVE,NW,,,SEATTLE,WA,98117,338
882290-0070,12324,,,33RD,AVE,NE,#,B,SEATTLE,WA,98125,118
796900-0091,13225,,SE,230TH,ST,,,,KENT,WA,98042,94
437940-0420,1129,,,235TH,PL,NE,,,SAMMAMISH,WA,98074,112
2445000180,7021,,E,TONIA,ST,,,,TACOMA,WA,98404,113
29043600308500,4904,,,GLENWOOD,AVE,,,,EVERETT,WA,98203,121
01192600001600,7004,,,82ND,DR,NE,,,MARYSVILLE,WA,98270,
00445300000400,18304,,,31ST,AVE,NE,,,ARLINGTON,WA,98223,232
379000-0010,8253,,NE,143RD,PL,,,,KIRKLAND,WA,98034,53
2965000281,5301,,E,N,ST,,,,TACOMA,WA,98404,
373590-1590,810,,NE,80TH,ST,,,,SEATTLE,WA,98115,98
216390-1540,1038,,,LAKEVIEW,BLVD,E,,,SEATTLE,WA,98102,176
235430-0835,328,,SE,CLARK,ST,,,,ISSAQUAH,WA,98027,211
542301-0110,4574,,,193RD,PL,SE,,,ISSAQUAH,WA,98027,383
111576-0120,16506,,NE,132ND,ST,,,,REDMOND,WA,98052,103
118600-0195,3315,,E,PINE,ST,,,,SEATTLE,WA,98122,180
788260-0057,518,,,2ND,AVE,,,,KIRKLAND,WA,98033,
00408000200500,7712,,,224TH,ST,SW,,,EDMONDS,WA,98026,40
172304-9351,13004,,,14TH,AVE,S,,,BURIEN,WA,98168,108
202304-9341,834,,S,147TH,ST,,,,BURIEN,WA,98168,111
0221264040,5518,,N,35TH,ST,,,,TACOMA,WA,98407,270
777380-0040,12108,,,MARINE VIEW,DR,SW,,,BURIEN,WA,98146,105
416796-0410,1226,,SW,318TH,ST,,,,FEDERAL WAY,WA,98023,139
084850-0010,310,,S,312TH,ST,,,,FEDERAL WAY,WA,98003,
00870600002200,17722,,,HIGHLAND VIEW,DR,,,,ARLINGTON,WA,98223,155
01096900000100,22825,,,15TH,AVE,SE,,,BOTHELL,WA,98021,
212006-9029,21304,,SE,448TH,ST,,,,ENUMCLAW,WA,98022,
259970-0120,30171,,,3RD,PL,SW,,,FEDERAL WAY,WA,98023,35
710260-1120,14609,,NE,45TH,ST,,APT,E12,BELLEVUE,WA,98007,43
00507000000300,820,,,12TH,AVE,N,,,EDMONDS,WA,98020,197
00900500008000,3330,,,189TH,PL,SE,,,BOTHELL,WA,98012,159
503780-0350,2510,,W,BERTONA,ST,,APT,435,SEATTLE,WA,98199,
00544700801300,2030,,,LEXINGTON,AVE,,,,EVERETT,WA,98203,86
00831900029900,15327,,,166TH,AVE,SE,,,MONROE,WA,98272,45
00808200800200,1526,,,192ND,ST,SE,APT,H2,BOTHELL,WA,98012,143
6640000470,7401,,S,SHERIDAN,AVE,,,,TACOMA,WA,98408,78
27062100300400,13127,,,212TH,ST,SE,,,SNOHOMISH,WA,98296,114
5002570150,1319,,S,90TH STREET,CT,,,,TACOMA,WA,98444,203
379380-0300,13400,,,191ST,PL,SE,,,RENTON,WA,98059,138
680900-0090,1157,,,ILWACO,PL,NE,,,RENTON,WA,98059,154
2037240030,1210,,N,8TH,ST,,,,TACOMA,WA,98403,71
362603-9047,9029,,,8TH,AVE,NW,,,SEATTLE,WA,98117,83
4720000140,4922,,N,ISLAND,DR,E,,,BONNEY LAKE,WA,98391,115
864870-0550,4300,,W,LAKE SAMMAMISH,PKWY,SE,,,BELLEVUE,WA,98008,172
538100-0260,17216,,,37TH,LN,S,,,SEATAC,WA,98188,146
430735-0430,304,,,INDEX,PL,SE,,,RENTON,WA,98056,122
28061400201000,16518,,,88TH,ST,SE,,,SNOHOMISH,WA,98290,112
247335-1540,16207,,,141ST,AVE,SE,,,RENTON,WA,98058,107
329880-0020,817,,NW,205TH,ST,,,,SHORELINE,WA,98177,249
757770-0080,3729,,,41ST,AVE,SW,,,SEATTLE,WA,98116,166
242300-0180,12645,,NE,109TH,ST,,,,KIRKLAND,WA,98033,150
352930-0390,11903,,SE,229TH,PL,,,,KENT,WA,98031,95
00690300003300,12817,,,48TH,AVE,NE,,,MARYSVILLE,WA,98271,79
389510-0042,13812,,,REDMOND,WAY,,,,REDMOND,WA,98052,144
2560500120,19008,,,77TH,ST,E,,,BONNEY LAKE,WA,98391,206
017000-0060,318,,NW,44TH,ST,,,,SEATTLE,WA,98107,138
092504-9007,6205,,,25TH,AVE,NE,,,SEATTLE,WA,98115,59
150800-0760,4020,,S,158TH,ST,,APT,B,TUKWILA,WA,98188,37
342604-9109,9000,,,45TH,AVE,NE,,,SEATTLE,WA,98115,175
00887700002200,8007,,,64TH,DR,NE,,,MARYSVILLE,WA,98270,17
9500000720,3025,,N,BENNETT,ST,,,,TACOMA,WA,98407,99
933180-0230,3206,,S,ORCAS,ST,,,,SEATTLE,WA,98118,135
01030200203600,2232,,,87TH,DR,NE,,,LAKE STEVENS,WA,98258,78
00676200000800,10417,,,40TH,AVE,SE,,,EVERETT,WA,98208,125
142800-0470,5406,,,264TH,AVE,NE,,,REDMOND,WA,98053,75
3320000150,6825,,,RAINIER,AVE,,,,GIG HARBOR,WA,98335,91
613450-0050,2500,,,248TH,TER,NE,,,SAMMAMISH,WA,98074,125
31051200204200,137,,S,STILLAGUAMISH,AVE,,,,ARLINGTON,WA,98223,123
228545-0220,8501,,,12TH,AVE,NW,APT,306,SEATTLE,WA,98117,
8945000760,3115,,N,JUNETT,ST,,,,TACOMA,WA,98407,322
144350-0180,4828,,S,KENYON,ST,,,,SEATTLE,WA,98118,58
4970000100,11016,,,KIRKWOOD,DR,SW,,,LAKEWOOD,WA,98498,95
928280-1450,11414,,,78TH,AVE,S,,,SEATTLE,WA,98178,154
181880-0315,3827,,,HILLCREST,AVE,SW,,,SEATTLE,WA,98116,63
01146900001400,3706,,,200TH,PL,SE,,,BOTHELL,WA,98012,187
814310-0450,13900,,,103RD,AVE,NE,,,KIRKLAND,WA,98034,354
7001010180,1222,,,57TH,CT,SE,,,AUBURN,WA,98092,150
0221174065,5208,,,REID,DR,NW,#,5210,GIG HARBOR,WA,98335,108
742427-0260,11915,,,ROSEBERG,AVE,S,APT,110,SEATTLE,WA,98168,45
6020030100,9303,,,60TH AVENUE,CT,E,,,PUYALLUP,WA,98371,191
816550-1140,7176,,,27TH,AVE,SW,,,SEATTLE,WA,98106,249
338900-0020,12405,,,10TH,LN,SW,#,B,SEATTLE,WA,98146,
322605-9129,11254,,NE,112TH,ST,,,,KIRKLAND,WA,98033,343
233130-0299,6608,,,DAYTON,AVE,N,,,SEATTLE,WA,98103,405
01151000001400,11205,,,169TH,ST,NE,,,ARLINGTON,WA,98223,
363016-0090,1641,,,24TH,AVE,NE,,,ISSAQUAH,WA,98029,103
00889000004500,12409,,,68TH,AVE,SE,,,SNOHOMISH,WA,98296,268
666686-0170,10216,,SE,204TH,ST,,,,KENT,WA,98031,134
715320-0065,1410,,,35TH,AVE,,,,SEATTLE,WA,98122,365
00749100002500,4409,,,130TH,PL,SW,,,MUKILTEO,WA,98275,245
358900-1880,588,,,BELL,ST,,UNIT,1803,SEATTLE,WA,98121,145
616390-0307,18442,,,10TH,AVE,NE,,,SHORELINE,WA,98155,124
383271-0720,26232,,,43RD,PL,S,,,KENT,WA,98032,59
342006-9056,23929,,SE,468TH,ST,,,,ENUMCLAW,WA,98022,224
256830-0171,10314,,,FISCHER,PL,NE,,,SEATTLE,WA,98125,65
4430200560,4008,,,CHESTNUT,DR,W,,,UNIVERSITY PLACE,WA,98466,120
889435-0220,35300,,SE,CENTER,ST,,#,E,SNOQUALMIE,WA,98065,
072406-9097,19606,,SE,24TH,WAY,,,,SAMMAMISH,WA,98075,203
00695600003600,2921,,,167TH,ST,SE,,,BOTHELL,WA,98012,90
177835-0300,19310,,SE,57TH,PL,,,,ISSAQUAH,WA,98027,224
01034700009100,1227,,,118TH,PL,SW,,,EVERETT,WA,98204,77
142305-9082,13407,,,156TH,AVE,SE,,,RENTON,WA,98059,77
00739600000300,5021,,,142ND,ST,SW,,,EDMONDS,WA,98026,271
